18482 16606988.9230
41 11707 24.2000
268 11707 9990.3330
840 11707 3602.4099
11707 997 2185.3250
1018 11707 6839.0229
1579 11707 3186.0950
2364 11707 2603.1931
2730 11707 9223.1191
11707 2805 3701.0691
11707 2844 1927.7960
3134 11707 1238.9771
11707 3543 1982.3409
11707 3767 4187.1812
11707 4245 1499.9520
4316 11707 488.3140
11707 4604 7002.7642
4604 11707 7002.7642
5424 11707 9.7900
11707 5469 7614.7598
11707 5727 2159.2271
6179 11707 7471.8472
6191 11707 6298.2881
6222 11707 4984.2720
11707 6475 7279.0532
11707 6605 5910.1030
6607 11707 5950.4771
6867 11707 3943.9041
11707 6911 3734.4580
7000 11707 1636.2300
7117 11707 1517.1460
11707 7376 3491.2590
11707 7971 4176.7822
8103 11707 4023.8311
11707 8226 9610.0225
8545 11707 6362.1069
8851 11707 3379.2061
11707 8942 2796.1169
9010 11707 1481.6520
9245 11707 2602.3259
11707 9727 9013.5381
11707 10061 3409.4490
10242 11707 3841.3030
10559 11707 3512.2310
11707 10666 7596.6299
10777 11707 5341.2549
10870 11707 4000.5459
11582 11707 7115.7461
11707 11838 3381.5530
11707 12382 6526.6880
11707 12444 4730.5068
11707 12463 8057.1318
12546 11707 3998.5349
11707 12628 3545.1470
11707 12706 5557.7559
11707 12897 1277.5890
13020 11707 1971.6021
11707 13134 4024.5850
11707 13159 7737.8452
11707 13285 8222.4121
11707 13334 5660.8149
11707 13478 9254.9912
11707 13555 1713.6720
13763 11707 9837.5967
11707 13844 3278.8220
14696 11707 3840.0459
14903 11707 8716.0557
11707 15103 9174.3809
11707 15275 9152.5146
11707 15821 2714.0601
11707 16529 1776.7070
17334 11707 8166.0542
11707 17504 8639.8613
17717 11707 8134.3618
18437 11707 1678.2850
18643 11707 8752.8428
106 12463 5991.9692
12463 2253 8195.1826
12463 5952 5868.5898
7675 12463 1889.8740
12463 7974 4721.8721
8386 12463 3115.4490
12463 8878 9947.0059
8887 12463 8720.4072
9524 12463 9176.9482
10242 12463 5504.7622
10498 12463 2514.3479
11707 12463 3664.9021
12925 12463 9529.3467
13090 12463 252.1930
12463 13113 1887.3149
12463 13134 7706.5142
13386 12463 9507.1836
12463 13527 6117.3389
12463 13946 60.4630
15775 12463 5302.3589
15896 12463 9957.3848
16336 12463 1292.8710
12463 16346 4476.7402
12463 16691 9109.9004
12463 17136 4006.9309
12463 17167 8769.7988
12463 17401 9792.3057
12463 17738 5163.1450
18041 12463 9420.5127
12463 18261 1470.5920
18306 12463 3915.9880
12463 18606 7928.8340
337 13134 2182.1270
537 13134 2300.9299
707 13134 9818.7080
13134 821 6903.9990
13134 881 7932.7310
1295 13134 9765.7139
1372 13134 8140.7588
1615 13134 7109.6792
13134 1627 5270.4761
1704 13134 655.1070
2725 13134 774.5820
3134 13134 7316.1748
13134 3367 907.3010
3370 13134 5178.2490
3718 13134 5022.6890
4040 13134 2930.8369
13134 4077 1295.5880
13134 4466 7599.5039
4746 13134 749.5480
13134 4840 3769.3250
4964 13134 8892.3750
13134 5118 7742.6401
5219 13134 5395.5771
5377 13134 5415.6582
13134 5881 6512.4390
5953 13134 5187.8838
13134 6064 578.8030
13134 6458 8449.3037
6591 13134 9174.8281
7013 13134 4494.7920
7265 13134 6378.1382
7401 13134 1356.9550
7628 13134 9312.0742
13134 7768 6196.8462
13134 8111 777.3070
13134 8197 7244.8062
8202 13134 5962.5601
13134 8397 1434.4180
8532 13134 4354.4849
8534 13134 3749.3879
8545 13134 2089.5249
13134 8567 7645.4189
8600 13134 3581.9150
8692 13134 5513.1782
8931 13134 2823.6680
13134 8942 8604.6035
9094 13134 960.3680
13134 9190 6635.6079
9338 13134 8720.4600
9554 13134 1709.9160
9696 13134 404.9330
13134 9839 7612.8350
13134 10041 9452.5566
13134 10150 5800.5112
13134 10242 3028.4939
10370 13134 8481.3477
10733 13134 3504.7471
13134 11038 6123.6489
13134 11509 6930.6528
13134 11673 2679.5750
11707 13134 618.4410
13134 12138 3308.7910
13134 12146 4036.5300
12463 13134 9930.5156
12546 13134 2021.9900
12918 13134 4813.8369
13141 13134 7175.3218
13134 13373 7984.5498
14292 13134 6248.2549
14696 13134 4046.1589
14816 13134 4250.2910
13134 15275 854.1330
13134 15513 4207.9312
13134 15766 7832.2061
16199 13134 8883.6631
16584 13134 7031.5991
13134 16666 8953.1631
13134 16710 9844.0312
13134 16955 6183.5601
13134 17830 7673.6230
13134 18342 4070.3000
462 8803 9104.8447
8803 1335 5286.4590
2719 8803 6039.2090
2853 8803 4905.3560
3303 8803 831.3050
3640 8803 4520.5571
3828 8803 926.4550
8803 4332 6954.9541
8803 4395 3967.5620
5510 8803 3606.0300
8803 5798 89.7480
6836 8803 9792.7061
8803 7987 7642.5610
8241 8803 2536.6160
8803 9111 1814.6960
8803 9683 4972.7500
8803 13908 2228.2900
8803 14686 2315.5979
14936 8803 3737.3579
15449 8803 6274.4492
8803 15922 6565.8892
8803 16605 7107.8428
16973 8803 482.3800
8803 17092 6914.4482
8803 17165 5991.5059
17244 8803 30.3320
8803 17982 5867.6108
17982 768 8351.8896
2202 17982 6213.8921
17982 2508 3541.2339
3142 17982 4938.5420
17982 3491 7835.0889
17982 3724 1344.0450
4188 17982 977.7510
4454 17982 2740.4460
5366 17982 4691.7021
17982 5430 8014.6602
5510 17982 3666.9009
5581 17982 4163.0088
5983 17982 1982.2230
6310 17982 9789.2842
17982 6867 4252.7568
7096 17982 1774.9290
7097 17982 7431.8452
17982 7216 9305.7246
17982 7670 6105.9771
7987 17982 2404.5950
8545 17982 1534.0150
17982 8803 8421.5752
9182 17982 8658.3047
17982 9286 324.8160
17982 9493 7503.8169
9550 17982 5766.1479
9552 17982 3323.5491
17982 9746 4418.2651
9840 17982 4274.0068
9930 17982 5870.2329
17982 9988 285.8760
10798 17982 2625.8970
10801 17982 4600.4771
10921 17982 6343.4619
12008 17982 80.7910
17982 12755 2435.5659
12896 17982 203.8600
13082 17982 1058.5420
13778 17982 7692.3638
17982 13973 7411.9141
14385 17982 9073.2021
17982 14969 3875.6179
15046 17982 1574.9230
15098 17982 3571.7771
17982 15114 3664.9021
17982 15449 8344.0322
17982 15853 7863.0581
15862 17982 1096.7469
16209 17982 7649.7568
17982 16556 3969.0349
17982 17092 6017.6938
17982 17463 1700.1240
17982 17661 4906.9629
17982 18557 4676.0000
18690 17982 4541.2930
14874 157 2410.7800
184 14874 442.1480
328 14874 7864.8418
534 14874 9345.3975
14874 702 4716.1548
841 14874 3735.0750
965 14874 2147.6250
981 14874 9858.4043
14874 1032 851.9040
1063 14874 1007.4390
14874 1136 9939.1953
14874 1288 3287.4700
1317 14874 1211.2990
1350 14874 3514.0891
1570 14874 979.8350
1615 14874 8623.2139
14874 1788 2587.2920
1937 14874 4855.4531
2097 14874 2714.4890
2124 14874 8675.4209
2174 14874 8520.3555
14874 2279 3574.8740
2359 14874 6538.4800
2363 14874 2133.4541
14874 2516 1224.6310
14874 2539 3023.8669
14874 2572 667.5000
14874 2619 5441.1079
14874 2737 7930.8301
2873 14874 5343.5000
3013 14874 9982.4014
3102 14874 2857.9619
14874 3103 8302.0010
3104 14874 7847.2432
14874 3143 2203.3589
3367 14874 5534.5078
3937 14874 4098.6699
3974 14874 6867.3359
14874 3988 7909.2651
14874 4040 4950.5742
4209 14874 7874.7759
4336 14874 364.8120
14874 4347 8238.0439
4363 14874 1602.4270
4604 14874 3878.9021
4632 14874 1734.2310
14874 4733 2741.9929
4877 14874 8982.5459
4915 14874 9106.0361
14874 4921 5456.4829
4950 14874 7657.9668
14874 5109 7626.3911
14874 5118 9031.3574
14874 5145 4196.4468
5244 14874 2276.1970
5375 14874 2772.3401
14874 5377 7220.3149
14874 5379 2943.6980
5486 14874 8213.4482
14874 5622 7667.4971
5622 14874 7667.4971
14874 5737 8195.8486
14874 5855 3041.8120
14874 5883 9105.5508
14874 6047 8559.4443
14874 6067 7761.5229
14874 6088 7156.4121
14874 6092 5174.4658
14874 6458 4628.8599
6490 14874 5065.6768
6591 14874 125.0400
6671 14874 2503.6360
14874 6850 5430.4888
14874 7057 879.4370
7091 14874 4106.0630
7092 14874 9309.3906
14874 7215 5130.0200
7241 14874 9364.4092
7288 14874 8291.9365
7299 14874 4236.0571
14874 7603 4820.8921
7604 14874 5949.9048
7750 14874 1862.4480
7809 14874 6368.6011
14874 8013 2662.7041
8356 14874 6654.9980
14874 8404 9140.9414
14874 8594 2399.3711
14874 8683 9598.6963
14874 8931 9870.7422
14874 9222 2583.2209
14874 9398 402.2460
9430 14874 582.9430
14874 9434 5625.0332
14874 9529 2024.1500
14874 9685 1658.7400
9696 14874 3386.5559
9890 14874 9180.5615
14874 10003 6833.2061
10024 14874 8015.4160
10060 14874 4246.2388
10325 14874 6958.2471
14874 10354 3035.4041
10506 14874 2193.0801
14874 10615 354.0360
10618 14874 9657.8203
14874 10628 1502.4720
14874 10661 5484.0562
10673 14874 9022.2285
10680 14874 2310.7610
