112816 263397473.1142
1 15450 5784.4258
33560 1 4173.9019
2 13479 5857.7080
2 22122 9404.7402
2 35123 1996.5210
37439 2 2898.3750
51481 2 4678.6821
90494 2 8031.0801
106114 2 1464.6219
2 107762 8305.2549
3 6378 4735.3589
58961 3 8443.8330
3 87526 4270.7959
98560 3 8520.7627
98572 3 7625.1572
103389 3 1375.8440
119854 3 5104.7710
5873 4 5371.4678
4 12338 5912.7588
4 21519 2737.5239
4 22561 2736.8030
4 79963 5178.0171
4 93400 6274.8818
4 107044 5148.8389
116023 4 2858.4641
4913 5 3284.4509
5 14136 9648.3857
5 75697 3467.4629
102896 5 2319.0979
5 119012 6205.8081
10992 6 2063.7859
53403 6 8103.5249
6 53595 2896.0620
89573 6 437.8470
6 91946 24.6170
7 51328 4892.5830
121360 7 3336.2219
7 125691 4703.2988
8 68217 2923.6631
8 110995 7317.1958
5958 9 5524.9058
9 12199 175.3740
9 12561 5761.0298
9 43466 2312.0549
53865 9 8696.1377
93168 9 5902.5391
10 10437 3687.8989
69145 10 6317.2612
75041 10 3790.3589
85542 10 9600.6582
87158 10 9054.7852
88778 10 6527.1621
90040 10 7295.0278
11 48378 7846.0190
11 60307 4192.3540
11 64664 2669.8440
11 77131 3646.8230
85148 11 3840.7400
11 90705 6137.3071
11 103999 5965.9209
11 126036 2562.8999
2027 12 717.4460
12 12959 4069.4460
12 18999 5458.9629
43090 12 1155.2930
12 73583 4094.0630
91604 12 2867.8979
93082 12 7007.8672
105745 12 1313.7140
12 112312 8307.9141
12 127549 4325.0630
13 13297 6838.6211
13 40992 8483.2881
13 91610 2602.4451
13 96305 9150.6758
101138 13 7179.4258
122727 13 8504.9854
14 52227 2838.5750
60537 14 6013.0391
15 21807 2295.3440
16 8778 5067.8242
8778 16 5067.8242
15208 16 1338.8590
16 17596 4766.9658
16 40410 5430.1958
16 49769 5531.2129
53080 16 7436.8101
17 109598 9077.0186
29734 18 1888.3051
18 39108 6090.4692
54193 18 5042.9399
86832 18 4451.2051
18 97526 6807.9150
103204 18 1628.7390
18 123258 2426.5200
25874 19 479.5600
36965 19 8239.1543
19 43995 5294.4189
55498 19 7487.4268
19 61639 9552.8691
80643 19 3602.3330
20 24704 4328.8428
20 54746 6391.4902
20 88380 2085.6211
105725 20 6931.2881
20 127048 5542.1660
20 128702 1781.4000
21 34855 5436.2729
50075 21 897.0930
82406 21 7794.4390
85980 21 247.9700
109084 21 5852.6792
22 19156 5378.6162
62713 22 1586.8290
104045 22 619.6450
104970 22 808.8120
26981 23 9634.3936
23 32572 572.8070
23 34282 9885.8311
52621 23 1522.6990
23 96928 6663.2769
12319 24 7445.1230
24 60505 5973.9038
24 92497 5987.5439
24 103624 9073.8623
119616 24 8400.4248
25 8217 6467.1050
23451 25 7313.0171
25 55957 6211.1958
25 77597 6470.8838
105921 25 6865.8862
25 110201 9813.5293
111464 25 799.7270
25 112920 5773.7280
25 127446 4415.5020
26 8877 7731.0161
26 19211 3832.2461
26 60323 8713.2539
79807 26 5683.6411
95733 26 4729.3389
26 95936 9024.0459
109153 26 5931.6108
27 32330 3098.3711
