112816 263397473.1530
1 15450 5784.4260
1 33560 4173.9020
2 35123 1996.5210
2 106114 1464.6220
3 103389 1375.8440
4 21519 2737.5240
4 22561 2736.8030
5 75697 3467.4630
5 102896 2319.0980
6 10992 2063.7860
6 53595 2896.0620
6 89573 437.8470
6 91946 24.6170
7 51328 4892.5830
7 121360 3336.2220
8 68217 2923.6630
8 110995 7317.1960
9 12199 175.3740
10 10437 3687.8990
10 75041 3790.3590
11 64664 2669.8440
11 126036 2562.9000
12 2027 717.4460
12 43090 1155.2930
12 105745 1313.7140
13 91610 2602.4450
14 52227 2838.5750
15 21807 2295.3440
16 15208 1338.8590
17 109598 9077.0190
18 29734 1888.3050
18 103204 1628.7390
18 123258 2426.5200
19 25874 479.5600
19 80643 3602.3330
20 24704 4328.8430
20 128702 1781.4000
21 50075 897.0930
21 85980 247.9700
22 62713 1586.8290
22 104045 619.6450
22 104970 808.8120
23 32572 572.8070
23 52621 1522.6990
24 60505 5973.9040
25 111464 799.7270
26 19211 3832.2460
26 95733 4729.3390
27 32330 3098.3710
27 69198 6919.0140
27 110616 34.7920
28 72913 2185.5380
28 105409 130.0090
29 22920 2198.4940
29 65758 1974.3490
30 13493 3115.2710
30 93183 957.8060
31 23566 1842.8190
31 87586 4172.7000
31 115481 744.7700
32 69684 4150.6820
33 9053 992.1380
34 77942 6675.7800
35 1236 5228.6190
35 111313 5123.7430
36 6028 843.3420
37 103817 2388.0440
38 102697 790.6560
39 107139 3551.5580
40 29930 3369.3670
40 75685 3834.3790
41 8814 488.4430
41 24257 1509.2670
41 43524 3886.0460
42 107444 1263.9250
42 107514 1796.0300
43 86351 505.4770
44 63575 5925.8390
45 83626 1121.2250
46 80794 7471.9570
47 10509 191.4770
47 128479 1576.0060
48 122317 6191.0160
49 30558 2839.9310
49 40585 942.4810
49 70796 1940.4080
50 119346 2103.9340
51 64418 6022.5740
52 29712 2795.4370
52 39507 667.1920
53 20193 2783.7460
54 45433 52.3330
54 99902 280.3910
55 7250 375.8380
56 84002 2795.6280
57 65634 708.1770
57 107777 1217.1100
57 108477 2812.1110
58 106674 1227.9380
58 127418 1954.6540
59 120550 1653.9130
60 12505 3258.9120
61 54866 9399.8310
62 4657 2070.9480
62 90128 1953.0580
62 126882 1462.2940
63 108501 1136.7830
64 26979 393.4670
64 56104 1958.8870
65 45279 3352.7460
66 21676 5752.1750
67 8580 2623.4610
67 47620 1579.7730
68 76623 1614.7110
68 125257 1019.9510
69 43384 3383.7700
69 83271 1515.6040
70 36913 662.3800
70 89269 2704.6240
71 39025 2362.4500
72 63503 1580.8290
72 64174 660.0940
73 70494 1429.1290
73 82784 1109.0680
73 123968 921.0800
74 128269 2349.0920
75 41501 351.6530
75 69523 871.1020
75 108888 1206.9550
76 11133 1369.3550
77 24805 2429.4600
77 90263 4391.7030
78 28732 2557.6600
78 118821 702.8930
79 44052 365.6320
79 58265 2428.5620
80 73750 81.7420
80 107110 5611.1430
81 70060 433.3950
81 90233 3655.3190
82 123231 142.6810
83 105547 2953.5550
84 39551 2454.9930
84 99832 1105.9060
84 126362 550.4570
85 3664 15.7680
85 25602 916.0890
86 76016 2277.6030
87 90451 5.5470
88 1514 1812.1670
89 64620 2808.8270
89 67252 3557.0210
89 111571 2315.8930
90 123222 6431.0850
91 13062 6384.3590
92 54097 291.5250
93 128762 901.0670
94 27698 906.6150
94 102458 284.7750
95 55496 2200.5220
96 92115 318.7480
96 118699 213.2860
97 58202 1334.3240
98 17904 2367.4480
98 57406 3103.2350
99 20683 2658.9730
99 73037 4464.0460
100 18512 2047.1210
101 84900 1153.6060
101 107728 162.8020
102 103929 7048.0700
103 106560 952.3850
103 120823 2286.7090
103 125856 390.5080
104 51995 3049.4810
104 53386 1848.7790
104 66854 3431.6370
105 31513 1764.4240
105 53877 85.3770
106 55488 5279.3230
107 55241 216.4750
107 98967 1355.1200
107 106364 379.2780
108 51247 919.5420
109 18576 7245.6900
110 5219 2974.7850
110 13293 3890.5870
110 61035 5261.4950
111 35755 6206.1820
111 38110 2015.4250
111 70754 2745.5550
111 77156 2154.1720
111 104474 4509.9790
112 21061 139.0580
113 69021 2428.3690
113 75671 3549.5840
114 42982 5244.0800
115 120997 3019.3870
116 68694 3571.7630
117 23229 882.4580
117 26106 638.1070
118 42144 612.2160
118 43345 2302.6350
118 98331 903.1560
118 108178 804.9550
119 88599 923.3420
120 61652 4483.7360
121 61679 4831.9210
122 37947 1469.2140
122 119941 7851.3080
123 75234 3939.4230
124 44848 2167.0610
124 57670 2779.2770
124 82931 1128.8940
124 107683 3445.1750
125 34263 2983.5160
125 87446 1407.6190
126 26050 1771.9850
126 122560 3.6680
127 27339 9133.6850
128 36984 3680.0410
129 17387 4127.6980
129 38234 3427.8860
130 59657 3132.2150
130 72339 236.7700
130 119544 2589.0910
131 41477 2999.5150
131 108246 2876.4370
132 44610 2151.4550
133 7164 970.0950
133 38105 1661.5000
133 42826 1104.8740
133 102678 795.1860
133 121324 1598.6360
134 100061 5791.9560
135 23495 3258.3150
136 55470 2581.1090
137 49227 157.6550
138 50366 3552.9260
138 58482 2688.7830
138 117867 1061.5820
138 120070 2014.1070
139 28606 1568.0190
139 52956 598.9610
139 111505 1703.8360
140 122066 6117.9540
141 108660 7495.7920
142 82564 9103.0960
143 41364 3270.4590
144 116323 7529.9620
145 12430 2473.0120
145 59904 4931.2000
145 66056 1869.9330
146 52591 6136.2530
147 60023 4140.3100
147 76916 4621.4480
148 29902 750.7610
149 471 1511.3890
149 19381 645.7650
149 34440 1317.3570
149 36194 993.7310
149 58386 1329.5010
149 75951 96.8270
150 95097 3897.9810
151 11183 1459.2580
151 104503 2350.9400
152 38588 2566.9630
152 99444 692.7250
153 32171 1443.4870
153 39988 1855.7780
153 42626 5725.6910
154 50286 731.2930
154 85246 1546.5380
154 121339 502.4240
155 56516 938.9580
156 7670 377.6930
156 81142 312.7820
157 14589 985.7360
157 78053 2126.6750
158 79585 818.3490
158 122713 2754.6790
159 115373 1110.7370
159 120126 1292.2770
159 120456 283.6600
160 2662 329.2280
160 102064 921.1720
160 110321 3598.5840
161 8646 645.5850
161 13246 1419.4470
161 22785 4345.6080
161 39285 1034.3680
162 54974 1652.8340
163 37946 1331.9070
163 76654 3226.3080
164 26582 2390.1060
165 72093 798.7360
166 37957 4632.2370
166 119341 637.0100
167 100447 3823.3760
167 120166 4329.0880
168 54055 3178.1380
169 84423 3414.2950
170 9290 3237.1380
170 21824 1416.5190
170 24943 2965.5850
171 20595 4376.0560
171 20776 1912.3280
171 114034 1594.8390
172 80153 2701.4380
173 44321 5005.1620
174 24772 1058.5090
174 104799 3507.5130
175 16357 1034.2930
176 83623 4212.4310
176 98791 7518.8760
177 8388 982.1860
177 65385 3449.5230
177 97464 1376.3670
178 22968 1164.7340
178 77861 3323.1190
179 54446 675.3970
179 91319 3376.8350
180 57157 898.3500
181 92715 4253.1040
182 19439 1771.9800
182 124530 194.2370
183 103768 841.4280
183 121896 2039.3020
184 89373 7998.1520
185 83594 1031.9420
185 84464 3891.3400
185 118186 1377.1750
186 27516 2880.8490
186 37443 1225.0960
186 42632 3366.8340
186 84920 260.5150
187 17787 5875.7870
188 98069 2144.1610
189 19587 584.2780
189 51692 1631.3150
190 38931 1486.8480
191 82507 2043.1040
191 103285 167.8780
192 3251 1017.4120
192 92806 1879.7830
192 116595 2242.5080
193 60951 465.1590
194 32714 517.8400
195 8290 1201.9440
195 105950 69.0080
196 28094 647.7790
197 41001 850.4880
197 58787 1016.7750
198 19564 2043.4670
198 66403 276.9580
199 27159 1701.4930
200 19062 7.7130
200 35727 296.6710
200 57988 1171.3150
200 99613 1175.2340
201 69044 1655.1350
201 83378 2252.8660
201 127231 395.6870
202 113877 3659.3880
203 94265 1631.5040
203 121296 1787.8430
203 127846 1222.3780
204 125138 2358.7200
205 89606 2313.3870
205 91847 1647.2980
205 97321 483.2570
206 16869 903.2610
207 3818 264.3450
207 65042 1215.0390
208 61532 660.0330
209 59551 832.4400
209 91602 1592.5910
210 2767 1967.3390
210 35327 3905.9780
210 55235 2450.5960
210 69688 3036.4980
210 114602 1920.4380
211 14344 1047.9770
211 27834 686.7720
211 50451 1312.3230
211 106553 4488.7080
212 6747 1000.8680
212 58785 237.5070
212 79618 9162.7150
213 29723 1518.6630
213 46753 1628.7580
213 69939 1457.2480
214 55844 250.1290
215 41071 1428.9860
215 124653 3396.3250
216 125470 5590.6420
217 5476 1598.3060
217 13171 2251.9250
217 17743 27.4320
217 30766 2646.2840
218 80812 6474.9590
219 25957 19.2820
219 35986 1774.2830
219 110851 1926.1280
219 127885 1727.6710
220 33865 621.6020
221 18631 269.8350
221 48607 1345.3970
221 65861 1698.8210
221 84181 1533.5570
222 13300 2205.6720
222 115831 2365.7870
223 21929 1163.5910
224 54665 3647.0860
224 100322 3699.2250
225 19818 1925.8810
225 29476 716.3890
225 114815 1985.8660
226 84940 5822.9990
226 102933 1596.3110
227 15733 2363.7910
227 27138 9409.2680
228 63987 2258.0010
229 51403 385.6650
230 57830 2094.4430
230 126699 3789.9970
231 32167 1768.5180
231 32821 420.3470
232 19898 2951.6350
232 97326 285.2690
233 87412 670.9340
234 96609 2803.0140
234 114729 930.1840
235 33964 345.7850
236 24401 858.0180
236 86987 1660.5380
237 16084 633.0130
237 92586 2731.0600
238 2124 4085.7370
238 100606 4052.1220
238 107221 169.9920
239 38281 1028.6000
239 44440 41.0290
239 99804 2252.8270
240 97947 175.3440
241 82025 4311.1270
242 7242 1067.0970
243 46027 1451.4750
243 54492 1575.1620
243 94023 3361.8120
244 7763 2084.4880
244 99179 908.3120
245 21690 6609.1860
246 26755 3594.6560
247 8401 3462.9290
247 58869 3503.9580
248 7642 817.1650
248 53892 433.0560
248 88868 992.5090
249 124916 2488.4010
250 118601 7807.0360
251 47471 6132.8910
252 103398 35.9860
253 10698 1898.5500
254 86035 2571.7450
255 30111 3348.3560
255 77727 3224.0930
256 7286 363.7020
256 37630 684.6070
256 93849 128.6940
257 39290 2843.4700
257 75704 673.2760
258 38541 465.0340
258 79538 1637.0450
259 7021 2737.9090
260 31448 1990.9760
260 63734 1541.7730
261 13387 1084.7980
261 24508 677.9580
262 64038 1432.3350
263 13945 3788.0390
264 116749 2702.2020
265 94704 595.4300
266 2840 3246.7110
267 14608 8998.2350
268 56202 1367.0230
269 96061 3800.5530
269 127960 3454.5310
270 18344 745.3820
270 23440 2847.1800
271 115692 2006.3540
272 27750 3071.5110
273 113465 9493.2400
274 33828 7357.2710
274 50475 2261.6620
275 63219 5183.3770
276 3874 2473.7630
276 60978 1259.8980
277 17499 1280.2130
277 68882 2231.4890
278 11934 98.2770
278 12960 2481.5310
278 21337 1794.2430
279 28764 7426.4260
280 40458 194.8770
281 14892 2038.3890
282 36991 967.3500
283 85326 1912.0120
284 24112 6150.7280
285 46268 1694.2640
286 20539 931.0930
286 50145 983.9780
286 51594 1029.3710
286 76930 2608.6830
286 100274 1611.5220
287 1721 6098.6850
288 52689 1906.8980
288 99070 1998.3270
289 93303 6209.8400
290 41378 4833.3730
291 120254 1546.7210
292 12397 1142.8240
292 38580 913.1520
292 59942 68.7230
292 84811 1844.2460
293 37436 133.9090
293 93150 4910.8110
294 19493 1620.7730
294 68775 2072.7080
295 37165 732.1990
295 41098 2142.7080
296 57187 4507.0300
297 21707 1799.9470
297 35229 716.8700
298 69452 2236.9650
298 110953 957.6950
298 128326 573.5010
299 72048 1552.7900
300 84360 3625.4980
301 12527 905.2150
301 34459 1511.5380
301 49960 1637.4140
301 117486 677.6290
301 121441 680.2410
302 27242 1394.4990
302 89997 1449.3050
302 96475 1465.6210
302 98462 1977.4460
303 40438 2130.5600
303 84230 1722.7150
304 54048 1220.1750
304 56455 1020.3270
304 82381 875.1290
305 76639 1231.3190
306 85928 2288.0620
307 78721 1970.5310
307 93303 3737.3670
307 100122 3947.9770
307 119378 794.6520
308 1464 1225.1740
308 10391 47.2590
308 14973 4732.9770
309 78220 1134.9480
309 91411 771.4970
310 88514 2002.8170
311 106069 7130.1780
311 117278 6912.0120
312 10121 1605.5530
312 61925 147.3340
312 72453 1506.9710
312 72717 3406.5520
313 127135 1696.3010
314 72273 666.1790
315 22546 717.7720
316 67317 6802.0190
317 35040 364.3030
317 103137 3198.6010
318 52379 358.5620
318 89269 2853.3050
319 43727 412.0870
320 13110 2017.3570
320 22715 1360.7820
320 47140 1939.9420
321 27007 967.9210
321 27032 1207.1260
321 77781 2335.8640
322 8886 3268.0130
323 9675 387.3170
324 28355 2248.3780
325 2057 425.1260
325 82130 1614.6130
326 54578 738.7920
326 120783 1997.1060
327 2692 4561.0370
328 112001 8949.4230
329 76496 2433.6960
329 115673 692.9310
330 117046 2496.6920
331 3760 3593.8040
331 22670 2076.7850
331 74547 1300.0120
332 20953 674.9320
333 11915 1647.3190
333 13481 1750.5000
333 15268 1044.3970
334 12403 3280.3590
334 31588 4452.1720
335 21365 562.3280
335 99335 1437.2150
335 118881 874.3210
336 64253 2737.2270
336 115226 1360.8190
336 120258 3412.1590
337 77586 6968.4950
338 51868 3918.8360
339 19826 2121.6150
340 37571 389.3620
340 45414 849.3960
340 77796 3343.2740
341 82761 202.0330
342 15512 124.2010
342 78292 933.9560
342 89631 249.2370
343 30626 1686.4520
343 73796 1353.0080
343 99225 2454.4850
344 62409 352.1910
345 112870 598.4150
346 115432 2505.1820
347 56019 3354.5780
347 66009 1419.1540
348 37311 716.9950
349 68228 917.0040
350 54000 16.5430
351 15007 1681.9110
351 50683 2151.4020
351 70857 2280.3270
351 85143 1517.6040
351 85259 796.9410
351 120712 1144.2440
352 27173 1649.7030
353 37220 3543.6060
354 54006 4460.6100
355 53222 1763.3260
355 83259 1779.8690
355 87417 1125.9140
355 103330 563.5780
356 93784 732.1100
357 5599 3436.6600
358 61538 1461.1380
358 65542 138.2830
358 125241 1037.6400
359 112294 7115.2450
360 37567 3866.0050
361 80231 1107.6690
362 13421 3174.7920
363 20438 151.0410
363 26456 2220.1540
363 63857 532.9930
364 28989 490.7020
365 38658 3794.2760
365 94388 519.3350
365 103519 1596.7200
366 12455 1556.9750
366 92512 57.2410
366 105601 765.3290
367 54460 1157.9350
367 129180 2362.3440
368 108807 2169.8290
369 23410 497.2410
369 29273 813.5950
369 110796 649.5510
370 67556 3429.1680
370 110112 574.8930
370 115957 4194.4970
370 126152 1150.9660
371 79004 6629.1030
371 125286 6032.5600
372 59425 1443.9040
372 66530 5736.4590
372 92025 651.6510
373 63241 4925.6070
374 3612 4382.1300
374 20476 2704.0490
375 60429 928.6120
375 85661 636.6420
376 51676 3249.6490
376 107948 776.6590
377 35620 4252.0410
377 57561 2786.2330
378 18237 6366.1740
379 17758 1070.7560
379 45699 3187.7210
379 76492 3605.5200
380 110667 824.3250
381 47158 1976.9910
381 103009 1334.2340
382 123824 232.0580
383 19019 4542.9750
383 43312 1872.1040
383 128729 677.6940
384 109022 524.7890
385 19799 1556.3900
385 19869 2472.2920
386 18589 4944.4770
386 123611 2492.2650
387 19172 353.6660
387 29976 772.0550
388 4916 12.4450
388 120716 23.3640
389 30329 1895.4680
389 65387 7351.1050
390 92623 1471.2820
390 97359 2916.7340
390 115096 1136.9320
391 44822 1192.4710
391 90840 422.6510
392 115290 2288.5970
393 108346 1174.6890
394 111152 127.3080
395 99925 879.3350
396 34293 3796.0700
396 90936 1794.2930
397 80742 4487.6160
398 92466 2944.5960
399 89194 9801.7980
400 79017 1432.3500
400 89077 1197.5260
400 125021 3107.5970
401 57022 3234.9050
402 7003 968.0810
403 55983 2294.6510
403 64408 1292.3560
404 20287 56.6760
404 22260 2000.3860
405 47341 8098.8740
406 6994 255.8170
406 55239 2974.6310
406 78557 1453.3440
407 24457 1474.4890
407 27833 1833.4860
407 75398 993.7030
