18482 16606988.9100
11707 41 24.2000
11707 5424 9.7900
11707 7117 1517.1460
12463 13090 252.1930
12463 13946 60.4630
13134 1704 655.1070
13134 5219 5395.5770
13134 7013 4494.7920
13134 11673 2679.5750
13134 15275 854.1330
8803 3828 926.4550
8803 5798 89.7480
8803 17244 30.3320
17982 7096 1774.9290
17982 12008 80.7910
14874 1063 1007.4390
14874 16841 47.1150
14874 18035 30.2880
8404 811 1214.6240
8404 3668 73.5980
8404 3724 64.4470
8404 10628 43.2800
8404 13383 1175.2540
4363 2267 95.5760
4363 6490 140.2270
8111 2536 1373.6390
8111 7423 542.9550
8111 12219 2052.6350
7795 5212 618.1010
5212 8111 322.8200
6503 14504 1040.6140
10540 6694 1213.8850
10540 11140 37.0460
10540 11967 2588.2260
15310 8136 1270.5340
15310 10794 350.2940
15310 11944 1939.1730
15310 18449 725.1780
2459 184 114.3710
5531 889 258.5880
1945 5844 128.3780
1945 7893 1303.9160
1945 16926 3220.8200
3721 10505 5737.8470
3721 13068 1142.7950
3721 15427 233.5470
14936 2846 1999.1890
14936 7699 179.2720
14936 9895 161.0730
12249 10935 77.0710
12249 13591 22.4680
4901 12739 1864.5890
9967 17844 3520.9370
4957 1374 1207.0570
4957 5223 48.8390
4957 7681 903.7340
4957 11871 1484.2400
4957 11872 3.3120
4957 12946 83.5910
4957 13474 115.7850
17907 11352 4961.8730
10498 7296 69.2660
10498 11395 188.7800
10498 17401 331.6330
11501 12033 836.3730
13443 1945 632.5430
1242 3294 2645.1210
5573 6680 340.1090
5573 9032 1803.5730
14259 9949 88.4130
14259 18688 120.1540
16973 3726 3236.7520
1273 11794 121.5460
15943 11872 206.3980
1840 2935 136.6010
1840 4139 43.8870
1840 5074 376.2960
1840 9745 56.2590
1840 11916 769.3020
1840 17467 57.2160
3725 7016 920.0420
3725 8390 308.5400
15643 883 40.9470
15643 6903 124.3850
15643 9620 72.7770
15643 11994 2631.5620
15643 15698 1265.3830
15987 528 446.6150
15987 15089 1339.7770
15987 18073 1077.8500
17092 5891 131.6240
17092 7039 257.4480
17092 9781 86.8360
17092 16474 577.8450
3487 3397 948.7040
3487 7612 218.1360
3335 1272 189.6000
11189 3335 88.3170
11189 16506 1804.3980
6216 9275 1168.1530
16923 18037 704.8920
18037 6216 3391.8150
7081 1929 1000.8170
7081 10384 1292.9390
13923 797 1973.1680
13923 7081 284.3600
13923 13809 587.7950
1620 9180 1920.5250
1620 14832 24.8520
6648 5295 333.8300
8213 5958 1974.8790
9180 8213 3483.7920
9180 12862 1880.0920
9180 16117 2705.6250
13943 702 80.0880
13943 1341 8.6980
76 5561 140.3530
76 12244 350.0010
1731 76 336.2850
5176 2993 1059.4030
5176 8792 1340.9740
5223 6038 1069.6700
5223 16257 430.7550
12244 2918 457.9990
12244 14936 122.6590
12244 17113 1814.2650
3578 9624 663.8800
1496 4987 339.8580
1496 11402 488.5600
1496 12320 828.4190
1496 16905 1524.1210
1496 17221 71.9570
4933 10319 592.8970
4933 14204 1303.6450
4933 16280 1639.3050
4987 17111 1881.3390
8215 16710 326.6350
10319 9129 825.6290
12320 461 527.5020
12320 15080 1197.2720
16265 4987 435.4760
16265 13228 375.0030
16710 10319 517.1490
9930 15200 463.9960
9930 17748 251.1450
9930 18257 1826.6910
9550 1801 51.2570
9550 17384 1017.5330
10133 14802 4837.8070
