112816 263397473.1142
15450 1 5784.4258
1 33560 4173.9019
13479 2 5857.7080
22122 2 9404.7402
35123 2 1996.5210
2 37439 2898.3750
2 51481 4678.6821
2 90494 8031.0801
106114 2 1464.6219
107762 2 8305.2549
3 6378 4735.3589
3 58961 8443.8330
87526 3 4270.7959
3 98560 8520.7627
98572 3 7625.1572
3 103389 1375.8440
3 119854 5104.7710
5873 4 5371.4678
12338 4 5912.7588
4 21519 2737.5239
4 22561 2736.8030
4 79963 5178.0171
93400 4 6274.8818
4 107044 5148.8389
4 116023 2858.4641
4913 5 3284.4509
14136 5 9648.3857
5 75697 3467.4629
102896 5 2319.0979
119012 5 6205.8081
6 10992 2063.7859
6 53403 8103.5249
6 53595 2896.0620
89573 6 437.8470
6 91946 24.6170
51328 7 4892.5830
7 121360 3336.2219
8 68217 2923.6631
68217 8 2923.6631
8 110995 7317.1958
9 5958 5524.9058
12199 9 175.3740
12561 9 5761.0298
43466 9 2312.0549
9 53865 8696.1377
9 93168 5902.5391
10 10437 3687.8989
69145 10 6317.2612
75041 10 3790.3589
10 85542 9600.6582
87158 10 9054.7852
88778 10 6527.1621
10 90040 7295.0278
48378 11 7846.0190
11 60307 4192.3540
64664 11 2669.8440
11 77131 3646.8230
85148 11 3840.7400
90705 11 6137.3071
11 103999 5965.9209
11 126036 2562.8999
12 2027 717.4460
12959 12 4069.4460
12 18999 5458.9629
12 43090 1155.2930
12 73583 4094.0630
12 91604 2867.8979
12 93082 7007.8672
105745 12 1313.7140
12 112312 8307.9141
12 127549 4325.0630
13 13297 6838.6211
13 40992 8483.2881
13 91610 2602.4451
96305 13 9150.6758
101138 13 7179.4258
122727 13 8504.9854
52227 14 2838.5750
60537 14 6013.0391
15 21807 2295.3440
38118 15 4955.5859
16 8778 5067.8242
15208 16 1338.8590
16 17596 4766.9658
16 40410 5430.1958
16 49769 5531.2129
53080 16 7436.8101
109598 17 9077.0186
29734 18 1888.3051
18 39108 6090.4692
18 54193 5042.9399
86832 18 4451.2051
